returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
pickleball clubs near me,,pickleball clubs near me,Racket and team sport: Pickleball,480,LOW,8,1.1391,0.1988,1.0987,2025-august:720|2025-september:720|2025-october:590|2025-november:590|2025-december:390|2026-january:590|2026-february:480|2026-march:390|2026-april:390|2026-may:390|2026-june:480|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
silversmithing courses near me,,silversmithing courses near me,Craft and making: Silversmithing,480,HIGH,96,0.5826,0.1638,0.7825,2025-august:480|2025-september:480|2025-october:480|2025-november:590|2025-december:480|2026-january:590|2026-february:480|2026-march:390|2026-april:390|2026-may:390|2026-june:320|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
singles events,,singles events,Social and relationship: Singles events,480,LOW,25,1.6799,0.3894,2.2159,2025-august:590|2025-september:480|2025-october:480|2025-november:480|2025-december:390|2026-january:590|2026-february:480|2026-march:590|2026-april:480|2026-may:480|2026-june:390|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
social events,,social events,Social and relationship: General social events,480,LOW,2,0.5638,0.0687,0.9920,2025-august:480|2025-september:720|2025-october:590|2025-november:480|2025-december:390|2026-january:590|2026-february:590|2026-march:590|2026-april:480|2026-may:390|2026-june:320|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sound healing near me,,sound healing near me,Fitness and mind-body: Sound baths,480,LOW,26,0.8091,0.3671,1.8417,2025-august:590|2025-september:590|2025-october:590|2025-november:480|2025-december:390|2026-january:590|2026-february:590|2026-march:590|2026-april:480|2026-may:320|2026-june:480|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
stained glass courses near me,,stained glass courses near me,Craft and making: Stained glass,480,HIGH,98,0.9815,0.1991,0.7449,2025-august:480|2025-september:590|2025-october:590|2025-november:720|2025-december:590|2026-january:590|2026-february:480|2026-march:480|2026-april:480|2026-may:260|2026-june:320|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
stained glass workshop near me,,stained glass workshop near me,Craft and making: Stained glass,480,HIGH,97,0.4436,0.1787,0.8144,2025-august:590|2025-september:390|2025-october:480|2025-november:720|2025-december:590|2026-january:590|2026-february:590|2026-march:590|2026-april:480|2026-may:480|2026-june:320|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
supper club near me,,supper club near me,Social and relationship: Supper clubs,480,LOW,12,1.1522,0.0000,0.0000,2025-august:480|2025-september:480|2025-october:480|2025-november:390|2025-december:390|2026-january:480|2026-february:480|2026-march:590|2026-april:480|2026-may:480|2026-june:480|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
triathlon clubs near me,triathlon club near me,triathlon clubs near me|triathlon club near me,Outdoor and endurance: Triathlon clubs,480,LOW,7,0.5280,0.5068,1.1952,2025-august:590|2025-september:590|2025-october:480|2025-november:390|2025-december:320|2026-january:480|2026-february:320|2026-march:320|2026-april:320|2026-may:480|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
adult street dance classes near me,,adult street dance classes near me,Performance and dance: Street dance,390,LOW,13,2.5911,0.3441,2.1021,2025-august:390|2025-september:390|2025-october:480|2025-november:390|2025-december:390|2026-january:480|2026-february:390|2026-march:390|2026-april:390|2026-may:390|2026-june:390|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
astronomy club near me,,astronomy club near me,"Ideas, books and learning: Astronomy clubs",390,LOW,2,7.3313,0.0000,0.0000,2025-august:390|2025-september:390|2025-october:480|2025-november:390|2025-december:480|2026-january:590|2026-february:320|2026-march:390|2026-april:390|2026-may:260|2026-june:210|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
calligraphy classes near me,,calligraphy classes near me,Craft and making: Calligraphy,390,HIGH,92,0.4687,0.2608,0.9934,2025-august:480|2025-september:480|2025-october:390|2025-november:480|2025-december:480|2026-january:590|2026-february:390|2026-march:390|2026-april:260|2026-may:320|2026-june:260|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
canoe clubs near me,,canoe clubs near me,Outdoor and endurance: Canoeing,390,LOW,4,0.3906,0.0000,0.0000,2025-august:590|2025-september:590|2025-october:320|2025-november:320|2025-december:170|2026-january:320|2026-february:260|2026-march:390|2026-april:390|2026-may:480|2026-june:480|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cocktail making class near me,,cocktail making class near me,Food and drink: Cocktail masterclasses,390,HIGH,100,1.2436,0.3713,1.2887,2025-august:480|2025-september:480|2025-october:390|2025-november:390|2025-december:390|2026-january:480|2026-february:390|2026-march:390|2026-april:320|2026-may:320|2026-june:390|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
detox retreats uk,,detox retreats uk,"Wellness, spa and retreats: Detox retreats",390,MEDIUM,48,0.2972,0.0000,0.0000,2025-august:480|2025-september:480|2025-october:480|2025-november:480|2025-december:480|2026-january:390|2026-february:390|2026-march:390|2026-april:320|2026-may:320|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dog walking groups near me,,dog walking groups near me,Nature and animals: Dog-walking groups,390,LOW,2,1.6514,0.5321,5.4955,2025-august:390|2025-september:480|2025-october:480|2025-november:390|2025-december:320|2026-january:720|2026-february:480|2026-march:390|2026-april:390|2026-may:390|2026-june:390|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
group meditation near me,,group meditation near me,Fitness and mind-body: Meditation classes,390,LOW,16,2.0796,0.5394,1.7792,2025-august:480|2025-september:480|2025-october:480|2025-november:390|2025-december:320|2026-january:480|2026-february:390|2026-march:480|2026-april:320|2026-may:390|2026-june:320|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
hiking club near me,,hiking club near me,Outdoor and endurance: Hiking groups,390,LOW,23,1.9807,0.4722,1.4235,2025-august:390|2025-september:390|2025-october:320|2025-november:320|2025-december:320|2026-january:480|2026-february:390|2026-march:390|2026-april:390|2026-may:390|2026-june:320|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
live music events near me,,live music events near me,Live culture: Live music,390,LOW,12,2.3654,0.2283,1.6863,2025-august:590|2025-september:390|2025-october:390|2025-november:390|2025-december:320|2026-january:320|2026-february:320|2026-march:320|2026-april:320|2026-may:590|2026-june:480|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
murder mystery dinner near me,,murder mystery dinner near me,Tabletop and games: Murder-mystery dinners,390,HIGH,100,0.5793,0.2769,0.8296,2025-august:590|2025-september:720|2025-october:590|2025-november:480|2025-december:320|2026-january:480|2026-february:320|2026-march:210|2026-april:170|2026-may:170|2026-june:170|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
murder mystery events near me,,murder mystery events near me,Tabletop and games: Murder-mystery dinners,390,HIGH,100,0.4124,0.1919,0.9192,2025-august:480|2025-september:590|2025-october:720|2025-november:480|2025-december:390|2026-january:590|2026-february:320|2026-march:260|2026-april:210|2026-may:170|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sewing workshop near me,,sewing workshop near me,Craft and making: Sewing classes,390,MEDIUM,51,0.8797,0.2272,0.7858,2025-august:480|2025-september:480|2025-october:390|2025-november:390|2025-december:260|2026-january:390|2026-february:390|2026-march:320|2026-april:260|2026-may:320|2026-june:260|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
silent retreat near me,,silent retreat near me,"Wellness, spa and retreats: Silent retreats",390,MEDIUM,47,0.8832,0.2411,0.8364,2025-august:480|2025-september:390|2025-october:320|2025-november:390|2025-december:390|2026-january:480|2026-february:390|2026-march:390|2026-april:320|2026-may:320|2026-june:390|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
stand up comedy course,,stand up comedy course,Performance and dance: Comedy classes,390,MEDIUM,54,1.9368,0.4472,1.6596,2025-august:390|2025-september:480|2025-october:480|2025-november:390|2025-december:320|2026-january:480|2026-february:390|2026-march:390|2026-april:390|2026-may:390|2026-june:320|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
touch rugby near me,,touch rugby near me,Racket and team sport: Touch rugby,390,LOW,6,0.6873,0.1979,0.8113,2025-august:390|2025-september:480|2025-october:390|2025-november:320|2025-december:260|2026-january:320|2026-february:390|2026-march:480|2026-april:390|2026-may:480|2026-june:390|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wildlife volunteering near me,,wildlife volunteering near me,Nature and animals: Conservation volunteering,390,LOW,8,12.1988,0.6632,14.8280,2025-august:390|2025-september:390|2025-october:320|2025-november:260|2025-december:210|2026-january:590|2026-february:320|2026-march:390|2026-april:390|2026-may:390|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bachata near me,,bachata near me,Performance and dance: Bachata classes,320,LOW,20,0.2003,0.2330,0.7136,2025-august:320|2025-september:320|2025-october:320|2025-november:260|2025-december:260|2026-january:320|2026-february:320|2026-march:320|2026-april:210|2026-may:260|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
basket weaving courses near me,,basket weaving courses near me,Craft and making: Basket weaving,320,MEDIUM,38,0.7340,0.1411,0.7168,2025-august:390|2025-september:260|2025-october:210|2025-november:260|2025-december:320|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:320|2026-june:320|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
beekeeping experience near me,,beekeeping experience near me,Nature and animals: Beekeeping courses,320,HIGH,100,0.8986,0.3313,0.7861,2025-august:390|2025-september:260|2025-october:260|2025-november:390|2025-december:390|2026-january:210|2026-february:260|2026-march:320|2026-april:390|2026-may:390|2026-june:260|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
beer tasting near me,,beer tasting near me,Food and drink: Beer tasting,320,HIGH,100,0.7245,0.3538,1.1245,2025-august:390|2025-september:480|2025-october:320|2025-november:480|2025-december:480|2026-january:260|2026-february:260|2026-march:390|2026-april:260|2026-may:320|2026-june:390|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
conservation volunteering near me,,conservation volunteering near me,Nature and animals: Conservation volunteering,320,LOW,14,5.9710,0.4679,14.8280,2025-august:320|2025-september:320|2025-october:390|2025-november:260|2025-december:170|2026-january:390|2026-february:320|2026-march:320|2026-april:320|2026-may:390|2026-june:390|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
crochet groups near me,,crochet groups near me,Craft and making: Crochet groups,320,LOW,3,0.0000,0.0000,0.0000,2025-august:320|2025-september:320|2025-october:390|2025-november:390|2025-december:260|2026-january:480|2026-february:390|2026-march:320|2026-april:260|2026-may:260|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
debate club near me,,debate club near me,"Ideas, books and learning: Debate clubs",320,LOW,8,5.3309,0.5254,2.2583,2025-august:390|2025-september:480|2025-october:390|2025-november:390|2025-december:260|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:210|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dj course near me,,dj course near me,Performance and dance: DJ workshops,320,MEDIUM,65,2.6112,0.7197,2.6268,2025-august:390|2025-september:390|2025-october:320|2025-november:390|2025-december:260|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:210|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dodgeball clubs near me,,dodgeball clubs near me,Racket and team sport: Dodgeball,320,LOW,2,0.8572,0.6143,1.5613,2025-august:210|2025-september:390|2025-october:390|2025-november:390|2025-december:320|2026-january:720|2026-february:390|2026-march:320|2026-april:260|2026-may:210|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
drag show near me,,drag show near me,Live culture: Drag shows,320,LOW,15,0.9355,0.2669,1.4865,2025-august:320|2025-september:320|2025-october:390|2025-november:320|2025-december:260|2026-january:390|2026-february:320|2026-march:260|2026-april:260|2026-may:320|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
embroidery classes near me,,embroidery classes near me,Craft and making: Embroidery workshops,320,HIGH,91,0.5829,0.2552,0.6941,2025-august:390|2025-september:480|2025-october:390|2025-november:320|2025-december:320|2026-january:390|2026-february:320|2026-march:480|2026-april:260|2026-may:210|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
film club near me,,film club near me,Live culture: Film clubs,320,LOW,4,14.9328,0.9889,13.7061,2025-august:390|2025-september:390|2025-october:480|2025-november:320|2025-december:260|2026-january:390|2026-february:320|2026-march:320|2026-april:320|2026-may:260|2026-june:320|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mushroom foraging near me,,mushroom foraging near me,Nature and animals: Mushroom foraging,320,HIGH,92,0.4662,0.2035,0.6898,2025-august:320|2025-september:1000|2025-october:1000|2025-november:390|2025-december:210|2026-january:170|2026-february:90|2026-march:90|2026-april:110|2026-may:90|2026-june:90|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
painting workshop near me,,painting workshop near me,Craft and making: Painting classes,320,HIGH,95,0.6753,0.2513,0.9922,2025-august:320|2025-september:320|2025-october:320|2025-november:320|2025-december:260|2026-january:320|2026-february:390|2026-march:320|2026-april:260|2026-may:260|2026-june:320|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
social events near me,,social events near me,Social and relationship: General social events,320,LOW,12,1.8870,0.2783,1.7783,2025-august:390|2025-september:320|2025-october:320|2025-november:260|2025-december:210|2026-january:390|2026-february:260|2026-march:320|2026-april:260|2026-may:320|2026-june:320|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
womens retreats uk,,womens retreats uk,"Wellness, spa and retreats: Women's retreats",320,MEDIUM,55,0.7937,0.1965,0.9389,2025-august:320|2025-september:390|2025-october:320|2025-november:260|2025-december:210|2026-january:390|2026-february:320|2026-march:320|2026-april:320|2026-may:480|2026-june:390|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
coding classes near me,,coding classes near me,Technical and maker hobbies: Coding workshops,260,MEDIUM,65,2.8843,1.0560,3.4455,2025-august:320|2025-september:390|2025-october:260|2025-november:260|2025-december:170|2026-january:260|2026-february:210|2026-march:320|2026-april:210|2026-may:210|2026-june:170|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
furniture restoration courses near me,,furniture restoration courses near me,Craft and making: Furniture restoration,260,MEDIUM,37,0.7918,0.2842,1.8656,2025-august:390|2025-september:320|2025-october:390|2025-november:260|2025-december:260|2026-january:390|2026-february:320|2026-march:210|2026-april:170|2026-may:140|2026-june:140|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
jewellery making workshop near me,,jewellery making workshop near me,Craft and making: Jewellery making,260,HIGH,97,0.5419,0.2473,0.9764,2025-august:320|2025-september:260|2025-october:260|2025-november:320|2025-december:260|2026-january:260|2026-february:260|2026-march:260|2026-april:210|2026-may:210|2026-june:170|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
maker space near me,,maker space near me,Technical and maker hobbies: Makerspaces,260,LOW,8,0.0904,0.0000,0.0000,2025-august:260|2025-september:390|2025-october:260|2025-november:260|2025-december:260|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:260|2026-june:260|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mosaic classes near me,,mosaic classes near me,Craft and making: Mosaic making,260,HIGH,97,0.5126,0.2297,0.7464,2025-august:320|2025-september:320|2025-october:260|2025-november:260|2025-december:210|2026-january:320|2026-february:260|2026-march:480|2026-april:260|2026-may:260|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mosaic workshops near me,,mosaic workshops near me,Craft and making: Mosaic making,260,HIGH,97,0.6825,0.1928,0.6992,2025-august:320|2025-september:320|2025-october:260|2025-november:260|2025-december:170|2026-january:260|2026-february:260|2026-march:390|2026-april:260|2026-may:260|2026-june:260|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
soap making courses near me,,soap making courses near me,Craft and making: Soap making,260,HIGH,100,0.4982,0.1803,0.7404,2025-august:260|2025-september:320|2025-october:390|2025-november:260|2025-december:260|2026-january:390|2026-february:260|2026-march:260|2026-april:260|2026-may:260|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
terrarium workshop near me,,terrarium workshop near me,Craft and making: Terrarium making,260,HIGH,100,0.5397,0.3102,1.0215,2025-august:210|2025-september:210|2025-october:210|2025-november:320|2025-december:320|2026-january:320|2026-february:260|2026-march:320|2026-april:210|2026-may:210|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
woodturning classes near me,,woodturning classes near me,Craft and making: Woodturning,260,MEDIUM,42,1.0544,0.1079,1.1029,2025-august:260|2025-september:320|2025-october:320|2025-november:390|2025-december:390|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:210|2026-june:170|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
woodturning courses near me,,woodturning courses near me,Craft and making: Woodturning,260,MEDIUM,42,1.0544,0.1079,1.1029,2025-august:260|2025-september:320|2025-october:320|2025-november:390|2025-december:390|2026-january:320|2026-february:260|2026-march:260|2026-april:260|2026-may:210|2026-june:170|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
art retreats uk,,art retreats uk,"Wellness, spa and retreats: Art retreats",210,MEDIUM,43,0.5432,0.1777,0.6296,2025-august:210|2025-september:210|2025-october:210|2025-november:260|2025-december:170|2026-january:320|2026-february:210|2026-march:210|2026-april:210|2026-may:210|2026-june:170|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
classic car clubs near me,,classic car clubs near me,Technical and maker hobbies: Car clubs,210,LOW,2,0.6734,0.0000,0.0000,2025-august:320|2025-september:260|2025-october:210|2025-november:170|2025-december:170|2026-january:260|2026-february:260|2026-march:260|2026-april:260|2026-may:260|2026-june:210|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
classical music near me,,classical music near me,Live culture: Classical concerts,210,LOW,33,3.9070,0.3449,3.4537,2025-august:210|2025-september:210|2025-october:260|2025-november:210|2025-december:260|2026-january:260|2026-february:210|2026-march:210|2026-april:170|2026-may:140|2026-june:140|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cold water therapy near me,,cold water therapy near me,Fitness and mind-body: Cold-water therapy,210,LOW,32,1.1808,0.3142,0.8642,2025-august:320|2025-september:260|2025-october:260|2025-november:210|2025-december:210|2026-january:320|2026-february:260|2026-march:170|2026-april:210|2026-may:170|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
diy classes near me,,diy classes near me,Technical and maker hobbies: DIY workshops,210,MEDIUM,52,0.5169,0.3239,1.3487,2025-august:210|2025-september:210|2025-october:260|2025-november:210|2025-december:170|2026-january:320|2026-february:260|2026-march:170|2026-april:210|2026-may:140|2026-june:170|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
drone club near me,,drone club near me,Technical and maker hobbies: Drone clubs,210,LOW,6,1.1715,0.3768,1.5459,2025-august:260|2025-september:260|2025-october:210|2025-november:210|2025-december:260|2026-january:260|2026-february:210|2026-march:210|2026-april:210|2026-may:210|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
drumming circle near me,,drumming circle near me,Performance and dance: Drumming circles,210,LOW,5,0.0000,0.2759,2.5487,2025-august:260|2025-september:210|2025-october:210|2025-november:210|2025-december:140|2026-january:210|2026-february:210|2026-march:210|2026-april:170|2026-may:210|2026-june:260|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pasta making class near me,,pasta making class near me,Food and drink: Pasta making,210,HIGH,100,0.6606,0.2354,0.8695,2025-august:170|2025-september:260|2025-october:320|2025-november:320|2025-december:260|2026-january:210|2026-february:170|2026-march:170|2026-april:140|2026-may:170|2026-june:170|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
photography workshops near me,,photography workshops near me,Craft and making: Photography workshops,210,MEDIUM,42,1.3813,0.3945,1.4442,2025-august:320|2025-september:260|2025-october:260|2025-november:170|2025-december:170|2026-january:260|2026-february:170|2026-march:210|2026-april:210|2026-may:170|2026-june:170|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
public lectures,,public lectures,"Ideas, books and learning: Public lectures",210,LOW,6,1.9072,1.1377,2.4934,2025-august:140|2025-september:170|2025-october:170|2025-november:170|2025-december:170|2026-january:260|2026-february:210|2026-march:210|2026-april:170|2026-may:170|2026-june:260|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sushi making class near me,,sushi making class near me,Food and drink: Sushi making,210,HIGH,100,0.7420,0.2991,0.9319,2025-august:210|2025-september:170|2025-october:210|2025-november:260|2025-december:260|2026-january:210|2026-february:260|2026-march:210|2026-april:140|2026-may:210|2026-june:140|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
swing dancing near me,,swing dancing near me,Performance and dance: Swing dancing,210,LOW,11,0.2427,0.0000,0.0000,2025-august:320|2025-september:260|2025-october:260|2025-november:260|2025-december:210|2026-january:260|2026-february:210|2026-march:210|2026-april:170|2026-may:170|2026-june:210|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
talks near me,,talks near me,"Ideas, books and learning: Live talks",210,LOW,1,5.0992,0.0000,0.0000,2025-august:210|2025-september:210|2025-october:210|2025-november:140|2025-december:210|2026-january:210|2026-february:210|2026-march:260|2026-april:210|2026-may:260|2026-june:210|2026-july:210,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
vegan cookery course,,vegan cookery course,Food and drink: Vegan cooking,210,HIGH,99,1.1967,0.3777,1.4641,2025-august:210|2025-september:320|2025-october:210|2025-november:260|2025-december:260|2026-january:210|2026-february:210|2026-march:170|2026-april:140|2026-may:140|2026-june:140|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
walking club near me,,walking club near me,Outdoor and endurance: Walking groups,210,LOW,9,1.2259,0.6664,1.7507,2025-august:210|2025-september:210|2025-october:210|2025-november:170|2025-december:170|2026-january:320|2026-february:260|2026-march:210|2026-april:210|2026-may:210|2026-june:170|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
3d printing course near me,,3d printing course near me,Technical and maker hobbies: 3D-printing workshops,170,LOW,28,1.1519,0.4644,1.2514,2025-august:140|2025-september:210|2025-october:210|2025-november:210|2025-december:170|2026-january:210|2026-february:210|2026-march:210|2026-april:140|2026-may:140|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
backgammon club near me,,backgammon club near me,Tabletop and games: Backgammon clubs,170,LOW,1,0.0000,0.0000,0.0000,2025-august:140|2025-september:140|2025-october:140|2025-november:110|2025-december:260|2026-january:260|2026-february:170|2026-march:140|2026-april:170|2026-may:110|2026-june:140|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cheese making courses near me,,cheese making courses near me,Food and drink: Cheese making,170,HIGH,100,0.9310,0.3082,1.3215,2025-august:140|2025-september:170|2025-october:210|2025-november:260|2025-december:260|2026-january:170|2026-february:110|2026-march:90|2026-april:110|2026-may:110|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
clothes swap near me,,clothes swap near me,Community and alternative: Clothes swaps,170,LOW,1,0.0000,0.0000,0.0000,2025-august:170|2025-september:210|2025-october:210|2025-november:170|2025-december:90|2026-january:210|2026-february:140|2026-march:170|2026-april:140|2026-may:140|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dinner with strangers,,dinner with strangers,Social and relationship: Dinner with strangers,170,LOW,8,2.7000,1.1792,3.8270,2025-august:260|2025-september:210|2025-october:210|2025-november:170|2025-december:140|2026-january:170|2026-february:140|2026-march:140|2026-april:110|2026-may:110|2026-june:90|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dodgeball near me,,dodgeball near me,Racket and team sport: Dodgeball,170,LOW,11,0.2638,0.0000,0.0000,2025-august:170|2025-september:210|2025-october:170|2025-november:140|2025-december:140|2026-january:260|2026-february:210|2026-march:170|2026-april:170|2026-may:110|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
