rank,city,family,format,explicit_keyword,explicit_average_monthly_searches,explicit_average_cpc_gbp,explicit_competition_index,local_geo_keyword,local_geo_average_monthly_searches,local_geo_average_cpc_gbp,local_geo_competition_index,comparative_liquidity_index_100,index_method,evidence_note,observed_at
222,Newcastle,Performance and dance,Line dancing,line dancing Newcastle,210,2.1674,26,line dancing near me,10,0.0000,1,41,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
223,Sheffield,Performance and dance,Acting classes,acting classes Sheffield,210,1.6466,23,acting classes near me,10,0.0000,66,41,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
224,Belfast,Craft and making,General art workshops,art workshops Belfast,170,1.0512,12,art workshops near me,10,0.0000,57,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
225,Belfast,Craft and making,Sewing classes,sewing classes Belfast,170,0.2378,1,sewing classes near me,10,0.0000,5,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
226,Cardiff,Performance and dance,Acting classes,acting classes Cardiff,170,1.8526,30,acting classes near me,10,0.0000,43,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
227,Cardiff,Tabletop and games,Chess clubs,chess club Cardiff,170,0.0000,0,chess club near me,10,0.0000,0,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
228,Cardiff,Craft and making,Sewing classes,sewing classes Cardiff,170,0.5524,27,sewing classes near me,10,10.5317,86,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
229,Edinburgh,Tabletop and games,Dungeons & Dragons,dungeons and dragons Edinburgh,90,3.1801,4,dungeons and dragons near me,20,0.0144,5,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
230,Edinburgh,Nature and animals,Nature walks,nature walks Edinburgh,70,0.5635,20,nature walks near me,30,0.0000,9,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
231,Glasgow,Tabletop and games,Dungeons & Dragons,dungeons and dragons Glasgow,90,0.0000,0,dungeons and dragons near me,20,0.0140,8,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
232,Glasgow,Racket and team sport,Volleyball,volleyball clubs Glasgow,50,0.0307,1,volleyball clubs near me,40,0.2913,1,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
233,Leeds,Nature and animals,Nature walks,nature walks Leeds,30,0.1183,15,nature walks near me,70,0.3571,17,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
234,Manchester,Racket and team sport,Volleyball,volleyball clubs Manchester,50,0.0000,0,volleyball clubs near me,40,0.0000,0,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
235,Newcastle,Performance and dance,Acting classes,acting classes Newcastle,170,3.9442,41,acting classes near me,10,1.9608,62,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
236,Newcastle,Tabletop and games,Board-game cafes,board game cafe Newcastle,170,0.0000,1,board game cafe near me,10,0.0000,5,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
237,Nottingham,Performance and dance,Line dancing,line dancing Nottingham,170,0.6456,3,line dancing near me,10,0.0000,14,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
238,Nottingham,Outdoor and endurance,Running clubs,running clubs Nottingham,170,2.0400,8,running clubs near me,10,0.0000,18,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
239,Nottingham,Performance and dance,Salsa classes,salsa classes Nottingham,170,1.7872,6,salsa classes near me,10,0.0000,5,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
240,Nottingham,Craft and making,Sewing classes,sewing classes Nottingham,170,1.9813,17,sewing classes near me,10,0.0000,0,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
241,Sheffield,Performance and dance,Salsa classes,salsa classes Sheffield,170,0.0000,2,salsa classes near me,10,0.0000,0,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
242,Southampton,Food and drink,Cooking classes,cooking classes Southampton,170,0.5438,100,cooking classes near me,10,1.9543,84,40,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
243,Belfast,Craft and making,Sip and paint,sip and paint Belfast,140,1.0585,43,sip and paint near me,10,0.0000,33,39,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
244,Cardiff,Performance and dance,Salsa classes,salsa classes Cardiff,140,0.3064,5,salsa classes near me,10,0.0000,14,39,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
245,Leeds,Racket and team sport,Volleyball,volleyball clubs Leeds,50,0.0000,0,volleyball clubs near me,30,0.0000,0,39,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
246,Reading,Outdoor and endurance,Running clubs,running clubs Reading,140,0.8879,8,running clubs near me,10,0.0000,36,39,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
247,Southampton,Outdoor and endurance,Running clubs,running clubs Southampton,140,0.9736,4,running clubs near me,10,0.0000,8,39,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
248,Southampton,Food and drink,Wine tasting,wine tasting Southampton,140,0.4353,100,wine tasting near me,10,0.9006,73,39,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
249,Belfast,Performance and dance,Line dancing,line dancing Belfast,110,0.8344,11,line dancing near me,10,0.0000,5,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
250,Birmingham,"Wellness, spa and retreats",Spa retreats,spa retreats Birmingham,70,0.6322,100,spa retreat near me,20,0.4496,87,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
251,Edinburgh,Racket and team sport,Volleyball,volleyball clubs Edinburgh,70,0.0000,0,volleyball clubs near me,20,0.0000,11,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
252,Liverpool,Tabletop and games,Chess clubs,chess club Liverpool,70,0.0000,0,chess club near me,20,0.0000,0,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
253,Manchester,Tabletop and games,Dungeons & Dragons,dungeons and dragons Manchester,70,0.0457,4,dungeons and dragons near me,20,0.4951,16,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
254,Nottingham,Racket and team sport,Netball,netball clubs Nottingham,110,0.0000,1,netball clubs near me,10,0.0000,0,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
255,Reading,Performance and dance,Line dancing,line dancing Reading,70,10.4202,4,line dancing near me,20,0.0000,2,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
256,Reading,Craft and making,Sip and paint,sip and paint Reading,110,0.3858,92,sip and paint near me,10,0.3976,51,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
257,Sheffield,Tabletop and games,Chess clubs,chess club Sheffield,110,0.0000,0,chess club near me,10,0.0000,5,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
258,Southampton,Craft and making,General art workshops,art workshops Southampton,110,3.2784,34,art workshops near me,10,0.0000,0,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
259,Southampton,Craft and making,Sip and paint,sip and paint Southampton,110,0.2407,48,sip and paint near me,10,0.0000,90,38,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
260,Bristol,Tabletop and games,Dungeons & Dragons,dungeons and dragons Bristol,50,0.0000,2,dungeons and dragons near me,20,0.0000,3,37,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
261,Belfast,Tabletop and games,Board-game cafes,board game cafe Belfast,90,0.0138,1,board game cafe near me,10,0.0196,6,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
262,Belfast,Performance and dance,Salsa classes,salsa classes Belfast,90,0.5558,4,salsa classes near me,10,0.0000,0,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
263,Cardiff,Nature and animals,Nature walks,nature walks Cardiff,30,0.4062,12,nature walks near me,30,0.4081,10,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
264,Manchester,Craft and making,General art workshops,art workshops Manchester,90,0.7391,100,art workshops near me,10,0.0145,88,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
265,Newcastle,Performance and dance,Salsa classes,salsa classes Newcastle,90,1.1854,10,salsa classes near me,10,0.0000,10,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
266,Newcastle,Craft and making,Sewing classes,sewing classes Newcastle,90,1.0160,9,sewing classes near me,10,0.3555,60,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
267,Reading,Performance and dance,Salsa classes,salsa classes Reading,90,0.3938,8,salsa classes near me,10,0.0000,1,36,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
268,Bristol,Craft and making,General art workshops,art workshops Bristol,70,1.1309,100,art workshops near me,10,0.2604,100,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
269,Cardiff,Racket and team sport,Netball,netball clubs Cardiff,70,0.9807,4,netball clubs near me,10,0.0000,0,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
270,Edinburgh,Racket and team sport,Netball,netball clubs Edinburgh,70,0.7548,2,netball clubs near me,10,0.0000,0,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
271,Glasgow,Racket and team sport,Netball,netball clubs Glasgow,40,0.0000,1,netball clubs near me,20,0.0000,0,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
272,Liverpool,Racket and team sport,Netball,netball clubs Liverpool,40,1.0915,7,netball clubs near me,20,0.0000,3,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
273,Nottingham,Tabletop and games,Chess clubs,chess club Nottingham,70,2.6264,3,chess club near me,10,0.0000,0,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
274,Reading,Craft and making,Sewing classes,sewing classes Reading,40,0.2509,64,sewing classes near me,20,0.1447,69,35,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
275,Birmingham,Tabletop and games,Dungeons & Dragons,dungeons and dragons Birmingham,30,0.0000,1,dungeons and dragons near me,20,0.7738,8,34,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
276,Belfast,Tabletop and games,Dungeons & Dragons,dungeons and dragons Belfast,50,0.0000,0,dungeons and dragons near me,10,0.0146,7,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
277,Cardiff,Tabletop and games,Dungeons & Dragons,dungeons and dragons Cardiff,50,0.0287,1,dungeons and dragons near me,10,0.0604,14,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
278,Cardiff,Craft and making,General art workshops,art workshops Cardiff,50,0.2700,92,art workshops near me,10,0.0000,0,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
279,Edinburgh,Craft and making,General art workshops,art workshops Edinburgh,50,1.0835,98,art workshops near me,10,0.0000,12,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
280,Liverpool,Tabletop and games,Dungeons & Dragons,dungeons and dragons Liverpool,50,0.0000,1,dungeons and dragons near me,10,0.0000,11,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
281,Nottingham,Tabletop and games,Dungeons & Dragons,dungeons and dragons Nottingham,50,0.0000,0,dungeons and dragons near me,10,0.0140,21,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
282,Southampton,Performance and dance,Salsa classes,salsa classes Southampton,50,2.6604,3,salsa classes near me,10,0.0000,4,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
283,Southampton,Craft and making,Sewing classes,sewing classes Southampton,50,1.1585,18,sewing classes near me,10,0.3781,44,33,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
284,Belfast,Tabletop and games,Chess clubs,chess club Belfast,40,0.0000,0,chess club near me,10,0.0000,7,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
285,Belfast,Nature and animals,Nature walks,nature walks Belfast,20,1.0471,12,nature walks near me,20,0.0000,3,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
286,Birmingham,Craft and making,General art workshops,art workshops Birmingham,40,0.8492,100,art workshops near me,10,0.4610,86,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
287,Glasgow,Craft and making,General art workshops,art workshops Glasgow,40,0.0000,19,art workshops near me,10,0.0000,0,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
288,Leeds,Tabletop and games,Dungeons & Dragons,dungeons and dragons Leeds,40,0.0000,1,dungeons and dragons near me,10,0.1503,9,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
289,Liverpool,"Wellness, spa and retreats",Spa retreats,spa retreats Liverpool,40,0.9189,99,spa retreat near me,10,0.0000,61,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
290,Newcastle,Tabletop and games,Chess clubs,chess club Newcastle,40,0.0000,0,chess club near me,10,0.0000,0,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
291,Newcastle,"Wellness, spa and retreats",Spa retreats,spa retreats Newcastle,40,0.5726,100,spa retreat near me,10,0.7995,100,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
292,Nottingham,Craft and making,General art workshops,art workshops Nottingham,40,0.6621,73,art workshops near me,10,0.0000,0,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
293,Sheffield,Nature and animals,Nature walks,nature walks Sheffield,20,0.8469,15,nature walks near me,20,0.0000,13,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
294,Southampton,Performance and dance,Acting classes,acting classes Southampton,40,0.8614,38,acting classes near me,10,1.8325,54,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
295,Southampton,Racket and team sport,Netball,netball clubs Southampton,40,0.0000,0,netball clubs near me,10,0.0000,2,32,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
296,Bristol,"Wellness, spa and retreats",Yoga retreats,yoga retreats Bristol,30,0.5463,52,yoga retreat near me,10,0.7057,44,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
297,Newcastle,Craft and making,General art workshops,art workshops Newcastle,30,0.4631,34,art workshops near me,10,0.0000,0,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
298,Newcastle,Nature and animals,Nature walks,nature walks Newcastle,30,0.7704,9,nature walks near me,10,1.0455,8,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
299,Newcastle,Tabletop and games,Quiz nights,quiz night Newcastle,30,0.0000,1,quiz night near me,10,0.0000,0,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
300,Nottingham,Nature and animals,Nature walks,nature walks Nottingham,30,0.3553,18,nature walks near me,10,0.0000,5,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
301,Reading,Performance and dance,Acting classes,acting classes Reading,30,2.4298,33,acting classes near me,10,0.3816,71,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
302,Reading,Tabletop and games,Chess clubs,chess club Reading,30,0.0000,4,chess club near me,10,0.0000,2,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
303,Sheffield,Tabletop and games,Dungeons & Dragons,dungeons and dragons Sheffield,30,0.0000,0,dungeons and dragons near me,10,0.0000,71,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
304,Sheffield,Racket and team sport,Netball,netball clubs Sheffield,30,0.7306,3,netball clubs near me,10,0.0000,10,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
305,Southampton,Tabletop and games,Dungeons & Dragons,dungeons and dragons Southampton,30,0.0000,0,dungeons and dragons near me,10,0.0000,14,31,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
306,Belfast,Racket and team sport,Netball,netball clubs Belfast,20,0.0000,0,netball clubs near me,10,0.0000,0,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
307,Liverpool,"Wellness, spa and retreats",Yoga retreats,yoga retreats Liverpool,20,0.4100,34,yoga retreat near me,10,1.1649,76,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
308,Newcastle,Tabletop and games,Dungeons & Dragons,dungeons and dragons Newcastle,20,0.0000,0,dungeons and dragons near me,10,0.0000,0,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
309,Newcastle,Racket and team sport,Netball,netball clubs Newcastle,20,0.0000,0,netball clubs near me,10,0.0000,0,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
310,Newcastle,"Wellness, spa and retreats",Yoga retreats,yoga retreats Newcastle,20,0.6680,30,yoga retreat near me,10,0.0000,0,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
311,Reading,Racket and team sport,Netball,netball clubs Reading,20,0.0000,4,netball clubs near me,10,0.0000,0,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
312,Southampton,Tabletop and games,Chess clubs,chess club Southampton,20,0.0000,0,chess club near me,10,0.0000,0,29,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
313,Liverpool,Racket and team sport,Volleyball,volleyball clubs Liverpool,10,0.0000,0,volleyball clubs near me,20,0.0000,4,28,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
314,Newcastle,Racket and team sport,Volleyball,volleyball clubs Newcastle,10,0.0000,0,volleyball clubs near me,10,0.0000,4,25,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
315,Reading,Tabletop and games,Dungeons & Dragons,dungeons and dragons Reading,10,0.0000,0,dungeons and dragons near me,10,0.0463,12,25,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
316,Southampton,Tabletop and games,Quiz nights,quiz night Southampton,10,0.0000,10,quiz night near me,10,0.0000,0,25,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
317,Birmingham,Social and relationship,Speed dating,speed dating Birmingham,0,0.0000,0,speed dating near me,50,1.1586,34,20,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
318,Bristol,"Wellness, spa and retreats",Spa retreats,spa retreats Bristol,0,0.0000,0,spa retreat near me,20,0.7790,95,15,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
319,Bristol,Social and relationship,Speed dating,speed dating Bristol,0,0.0000,0,speed dating near me,20,0.8501,40,15,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
320,Leeds,Social and relationship,Speed dating,speed dating Leeds,0,0.0000,0,speed dating near me,20,0.6243,38,15,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
321,Manchester,Social and relationship,Speed dating,speed dating Manchester,0,0.0000,0,speed dating near me,20,2.1293,44,15,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
322,Reading,Nature and animals,Nature walks,nature walks Reading,0,0.0000,0,nature walks near me,20,0.5249,9,15,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
323,Belfast,"Wellness, spa and retreats",Spa retreats,spa retreats Belfast,0,0.0000,0,spa retreat near me,10,0.0000,100,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
324,Belfast,Racket and team sport,Volleyball,volleyball clubs Belfast,0,0.0000,0,volleyball clubs near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
325,Belfast,"Wellness, spa and retreats",Yoga retreats,yoga retreats Belfast,0,0.0000,0,yoga retreat near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
326,Birmingham,"Wellness, spa and retreats",Yoga retreats,yoga retreats Birmingham,0,0.0000,0,yoga retreat near me,10,0.6421,51,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
327,Cardiff,"Wellness, spa and retreats",Spa retreats,spa retreats Cardiff,0,0.0000,0,spa retreat near me,10,0.5472,100,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
328,Cardiff,Social and relationship,Speed dating,speed dating Cardiff,0,0.0000,0,speed dating near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
329,Cardiff,Racket and team sport,Volleyball,volleyball clubs Cardiff,0,0.0000,0,volleyball clubs near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
