rank,family,format,archetype,primary_keyword,returned_keyword,close_variant_group,primary_average_monthly_searches,support_keyword_observations,competition,competition_index,average_cpc_gbp,peak_month,peak_searches,low_month,low_searches,peak_to_low_ratio,demand_score_20,commercial_intent_rating_5,repeatability_rating_5,social_design_rating_5,operating_ease_rating_5,revenue_depth_rating_5,eventization_headroom_rating_5,launch_potential_score_100,decision,recommended_entry_model,intent_caveat,evidence_class,evidence_coverage,largest_unknown,observed_at
126,Outdoor and endurance,Disc golf,facility_sport,disc golf near me,disc golf near me,disc golf near me,1900,disc golf clubs near me:10,LOW,4,1.6304,2026-july,3600,2025-december,880,4.09,14,5,4,4,2,4,3,74,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
127,Outdoor and endurance,Surfing,facility_sport,surfing near me,surfing near me,surfing near me,1600,surf clubs near me:70,LOW,20,0.3327,2025-august,3600,2025-november,590,6.10,14,5,4,4,2,4,3,74,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
128,Outdoor and endurance,Swimming clubs,facility_sport,swimming clubs near me,swimming clubs near me,swimming clubs near me,1600,adult swimming club near me:70,LOW,16,0.6512,2025-september,2400,2025-december,1000,2.40,14,5,4,4,2,4,3,74,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
129,Racket and team sport,Squash,facility_sport,squash clubs near me,squash clubs near me,squash clubs near me,1300,squash courts near me:6600,LOW,10,0.2350,2026-february,3600,2026-april,880,4.09,14,5,4,4,2,4,3,74,partner_led_test,managed social session through an existing facility,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
130,Social and relationship,Dinner with strangers,social_first,dinner with strangers,dinner with strangers,dinner with strangers,170,dinner with strangers near me:10,LOW,8,2.7000,2025-august,260,2026-june,90,2.89,8,4,4,5,5,4,3,74,partner_led_test,owned hosted series in a partner venue,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
131,Racket and team sport,Dodgeball,team_sport,dodgeball near me,dodgeball near me,dodgeball near me,170,dodgeball clubs near me:320,LOW,11,0.2638,2026-january,260,2026-may,110,2.36,8,4,5,5,2,4,4,74,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
132,Tabletop and games,Tabletop role-playing,tabletop,tabletop rpg near me,tabletop rpg near me,tabletop rpg near me,10,tabletop roleplaying groups near me:0,LOW,6,0.2575,2026-july,20,2025-august,10,2.00,4,4,5,5,3,5,4,74,partner_led_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
133,Performance and dance,Pole dancing,fitness_class,pole dancing classes near me,pole dancing classes near me,pole dancing classes near me,8100,pole fitness near me:3600,LOW,9,0.5467,2025-october,9900,2025-december,6600,1.50,18,5,5,2,4,4,1,73,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
134,Fitness and mind-body,Tai chi,fitness_class,tai chi classes near me,tai chi classes near me,tai chi classes near me,8100,tai chi near me:18100,LOW,16,1.9544,2026-january,12100,2025-december,5400,2.24,18,5,5,2,4,4,1,73,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
135,Fitness and mind-body,Boxing classes,fitness_class,boxing classes near me,boxing classes near me,boxing classes near me,6600,boxing club near me:14800,MEDIUM,35,1.0760,2025-september,9900,2025-december,5400,1.83,18,5,5,2,4,4,1,73,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
136,Nature and animals,Alpaca walks,nature_class,alpaca walking near me,alpaca walking near me,alpaca walking near me|alpaca walks near me,5400,alpaca walks near me:5400,HIGH,82,0.3108,2025-august,9900,2025-november,2900,3.41,18,4,2,3,4,4,4,73,partner_led_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
137,Tabletop and games,Video-game bars,venue_entertainment,gaming bar near me,gaming bar near me,gaming bar near me,2400,video game bar near me:140,MEDIUM,45,0.3133,2025-october,2900,2026-july,1600,1.81,14,5,3,4,2,5,3,73,partner_led_test,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
138,Community and alternative,Community gardening,community_format,community gardening near me,community gardening near me,community gardening near me,1300,community garden events:10,LOW,3,2.4409,2025-august,1600,2025-december,720,2.22,14,2,5,5,5,2,3,73,partner_led_test,sponsor or venue-funded community layer rather than ticket-first,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
139,Food and drink,Bread making,food_class,bread making course near me,bread making course near me,bread making course near me,880,bread making class near me:880,HIGH,99,0.7469,2025-november,1300,2026-july,480,2.71,12,5,3,4,3,5,3,73,partner_led_test,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
140,Craft and making,General art workshops,portable_craft,art workshops near me,art workshops near me,art workshops near me,880,adult art workshops near me:10,HIGH,90,0.5673,2025-october,1000,2025-december,590,1.69,12,4,3,4,4,4,4,73,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
141,Craft and making,Candle making,portable_craft,candle making workshop near me,candle making workshop near me,candle making workshop near me,720,candle making class near me:90,HIGH,100,0.6579,2025-october,1000,2026-june,390,2.56,12,4,3,4,4,4,4,73,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
142,Craft and making,Life drawing,portable_craft,life drawing near me,life drawing near me,life drawing near me,590,life drawing classes near me:1300,LOW,12,4.5820,2026-january,880,2025-december,390,2.26,12,4,3,4,4,4,4,73,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
143,Craft and making,Leatherworking,studio_craft,leather workshop near me,leather workshop near me,leather workshop near me,170,leather craft course near me:0,HIGH,73,0.5569,2025-november,210,2026-january,140,1.50,8,5,4,4,2,5,4,73,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
144,Craft and making,Printmaking,studio_craft,printmaking workshops near me,printmaking workshops near me,printmaking workshops near me,140,printmaking classes near me:40,MEDIUM,64,0.8412,2026-january,210,2026-july,90,2.33,8,5,4,4,2,5,4,73,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
145,Craft and making,Sculpture,studio_craft,sculpture classes near me,sculpture classes near me,sculpture classes near me,140,sculpture workshop near me:40,HIGH,69,1.5551,2025-september,210,2026-april,110,1.91,8,5,4,4,2,5,4,73,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
146,Nature and animals,Birdwatching groups,outdoor_club,bird watching groups near me,bird watching groups near me,bird watching groups near me,110,birdwatching club near me:10,LOW,3,6.7150,2026-may,170,2025-august,70,2.43,8,3,5,5,4,3,4,73,partner_led_test,host-led club or bounded paid cohort,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
147,"Wellness, spa and retreats",Corporate retreats,retreat,corporate retreats uk,corporate retreats uk,corporate retreats uk,90,team retreat uk:0,MEDIUM,63,16.0730,2025-september,170,2025-october,50,3.40,6,5,3,5,3,5,4,73,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
148,"Ideas, books and learning",Philosophy groups,hobby_club,philosophy groups near me,philosophy groups near me,philosophy groups near me,70,philosophy club near me:40,LOW,4,0.0000,2026-january,90,2025-august,50,1.80,6,3,5,5,5,3,4,73,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
149,Performance and dance,Circus skills,participatory_performance,circus skills classes near me,circus skills classes near me,circus skills classes near me,50,circus workshop near me:30,LOW,20,0.8597,2025-august,70,2025-december,30,2.33,6,4,4,5,4,4,4,73,partner_led_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
150,Craft and making,Wreath making,portable_craft,wreath making workshop near me,wreath making workshop near me,wreath making workshop near me,1300,wreath making near me:1600,LOW,32,0.7407,2025-november,5400,2026-may,50,108.00,14,4,2,4,4,4,4,72,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
151,"Wellness, spa and retreats",Couples retreats,retreat,couples retreats uk,couples retreats uk,couples retreats uk,1000,couples retreat near me:480,HIGH,100,0.5831,2025-august,1300,2025-november,880,1.48,14,5,3,2,3,5,4,72,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
152,"Wellness, spa and retreats",Silent retreats,retreat,silent retreat uk,silent retreat uk,silent retreat uk,1000,silent retreat near me:390,MEDIUM,36,1.5091,2025-august,1300,2026-june,880,1.48,14,5,3,1,3,5,5,72,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
153,Racket and team sport,Rounders,team_sport,rounders clubs near me,rounders clubs near me,rounders clubs near me,70,social rounders near me:0,LOW,0,0.0000,2026-june,140,2025-december,10,14.00,6,4,5,5,2,4,4,72,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
154,Racket and team sport,Social football,team_sport,social football near me,social football near me,social football near me,70,football groups near me:70,LOW,13,0.7817,2025-august,110,2026-february,40,2.75,6,4,5,5,2,4,4,72,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
155,Racket and team sport,Softball,team_sport,softball clubs near me,softball clubs near me,softball clubs near me,70,softball near me:110,LOW,2,1.8480,2026-may,110,2025-december,20,5.50,6,4,5,5,2,4,4,72,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
156,Racket and team sport,Korfball,team_sport,korfball near me,korfball near me,korfball near me,50,korfball clubs near me:20,LOW,0,0.0000,2025-september,70,2025-december,30,2.33,6,4,5,5,2,4,4,72,partner_led_test,prepaid season using rented facility slots,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
157,Fitness and mind-body,Sauna sessions,spa_asset,sauna near me,sauna near me,sauna near me,90500,sauna sessions near me:70,MEDIUM,34,0.5703,2026-january,110000,2025-august,60500,1.82,20,5,5,2,1,5,1,71,partner_led_test,package existing spa inventory; do not build the asset,Measures spa inventory demand rather than demand for a hosted social cohort,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
158,Fitness and mind-body,Dance fitness,fitness_class,dance fitness classes near me,dance fitness classes near me,dance fitness classes near me,2900,dance workout near me:70,LOW,16,1.5915,2026-january,5400,2025-december,1900,2.84,16,5,5,2,4,4,1,71,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
159,Fitness and mind-body,Meditation classes,fitness_class,meditation classes near me,meditation classes near me,meditation classes near me,2900,group meditation near me:390,LOW,28,2.1961,2025-august,3600,2026-may,1900,1.89,16,5,5,2,4,4,1,71,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
160,Tabletop and games,Bridge clubs,tabletop,bridge club near me,bridge club near me,bridge club near me|bridge clubs near me,720,bridge clubs near me:720,LOW,1,1.2012,2026-january,1000,2025-december,590,1.69,12,2,5,5,5,2,3,71,partner_led_test,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
161,Nature and animals,Beekeeping courses,nature_class,beekeeping courses near me,beekeeping courses near me,beekeeping courses near me,480,beekeeping experience near me:320,HIGH,95,0.4992,2026-may,720,2025-october,320,2.25,10,4,3,4,4,4,4,71,partner_led_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
162,Fitness and mind-body,Breathwork,fitness_class,breathwork near me,breathwork near me,breathwork near me,480,breathwork classes near me:880,LOW,26,1.2448,2025-september,720,2025-december,260,2.77,10,5,4,2,4,4,4,71,partner_led_test,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
163,Nature and animals,Forest bathing,nature_class,forest bathing near me,forest bathing near me,forest bathing near me,480,forest bathing events:10,LOW,9,1.6412,2025-august,590,2025-december,260,2.27,10,4,3,4,4,4,4,71,partner_led_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
164,Craft and making,Calligraphy,portable_craft,calligraphy classes near me,calligraphy classes near me,calligraphy classes near me,390,calligraphy workshop near me:110,HIGH,92,0.4687,2026-january,590,2026-july,210,2.81,10,4,3,4,4,4,4,71,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
165,"Wellness, spa and retreats",Detox retreats,retreat,detox retreats uk,detox retreats uk,detox retreats uk,390,detox retreat near me:70,MEDIUM,48,0.2972,2025-august,480,2026-june,260,1.85,10,5,3,3,3,5,4,71,partner_led_test,hosted weekend using partner accommodation and practitioners,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
166,Craft and making,Basket weaving,portable_craft,basket weaving courses near me,basket weaving courses near me,basket weaving courses near me,320,basket weaving workshop near me:30,MEDIUM,38,0.7340,2025-august,390,2025-october,210,1.86,10,4,3,4,4,4,4,71,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
167,Nature and animals,Mushroom foraging,nature_class,mushroom foraging near me,mushroom foraging near me,mushroom foraging near me,320,mushroom foraging course:170,HIGH,92,0.4662,2025-september,1000,2026-july,70,14.29,10,4,3,4,4,4,4,71,partner_led_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
168,Craft and making,Mosaic making,portable_craft,mosaic workshops near me,mosaic workshops near me,mosaic workshops near me,260,mosaic classes near me:260,HIGH,97,0.6825,2026-march,390,2025-december,170,2.29,10,4,3,4,4,4,4,71,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
169,Craft and making,Soap making,portable_craft,soap making courses near me,soap making courses near me,soap making courses near me,260,soap making workshop near me:70,HIGH,100,0.4982,2025-october,390,2026-june,210,1.86,10,4,3,4,4,4,4,71,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
170,Craft and making,Terrarium making,portable_craft,terrarium workshop near me,terrarium workshop near me,terrarium workshop near me,260,terrarium making near me:20,HIGH,100,0.5397,2025-november,320,2025-august,210,1.52,10,4,3,4,4,4,4,71,partner_led_test,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
171,Food and drink,Pasta making,food_class,pasta making class near me,pasta making class near me,pasta making class near me,210,pasta workshop near me:10,HIGH,100,0.6606,2025-october,320,2026-april,140,2.29,10,5,3,4,3,5,3,71,partner_led_test,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
172,Craft and making,Photography workshops,technical_workshop,photography workshops near me,photography workshops near me,photography workshops near me,210,photography classes near me:2400,MEDIUM,42,1.3813,2025-august,320,2025-november,170,1.88,10,4,3,4,3,5,4,71,partner_led_test,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
173,Food and drink,Sushi making,food_class,sushi making class near me,sushi making class near me,sushi making class near me,210,sushi workshop near me:20,HIGH,100,0.7420,2025-november,260,2026-april,140,1.86,10,5,3,4,3,5,3,71,partner_led_test,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
174,Craft and making,Screen printing,studio_craft,screen printing workshop near me,screen printing workshop near me,screen printing workshop near me,70,screen printing course near me:140,HIGH,85,0.6974,2025-october,90,2025-september,50,1.80,6,5,4,4,2,5,4,71,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
175,Food and drink,Tea tasting,tasting,tea tasting near me,tea tasting near me,tea tasting near me,70,tea tasting experience:140,HIGH,92,0.2378,2025-august,90,2026-may,40,2.25,6,5,3,4,5,5,3,71,partner_led_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
176,Craft and making,Tufting,studio_craft,tufting workshop near me,tufting workshop near me,tufting workshop near me,70,rug tufting near me:50,HIGH,100,0.3130,2026-january,140,2026-june,30,4.67,6,5,4,4,2,5,4,71,partner_led_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
177,Food and drink,Coffee workshops,tasting,coffee workshop near me,coffee workshop near me,coffee workshop near me,50,barista course near me:1900,HIGH,90,0.3393,2026-february,70,2025-august,30,2.33,6,5,3,4,5,5,3,71,partner_led_test,producer and venue partnership while the operator owns the audience,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
178,Performance and dance,Comedy classes,participatory_performance,comedy classes near me,comedy classes near me,comedy classes near me,40,stand up comedy course:390,LOW,22,0.0000,2025-september,50,2026-june,20,2.50,4,4,4,5,4,4,4,71,partner_led_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
179,Social and relationship,Language exchange,hobby_club,language exchange near me,language exchange near me,language exchange near me,40,language exchange events:10,LOW,25,0.7994,2025-august,70,2026-march,20,3.50,4,3,5,5,5,3,4,71,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
180,Technical and maker hobbies,Model-making clubs,hobby_club,model making clubs near me,model making clubs near me,model making clubs near me,40,model railway clubs near me:720,LOW,0,0.0000,2025-october,70,2026-june,20,3.50,4,3,5,5,5,3,4,71,partner_led_test,recurring club or season with a facilitator,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
181,Live culture,Immersive theatre,participatory_performance,immersive theatre near me,immersive theatre near me,immersive theatre near me,20,immersive theatre:1300,LOW,13,0.0139,2025-august,30,2026-may,10,3.00,4,4,4,5,4,4,4,71,partner_led_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
182,Nature and animals,Farm experiences,nature_class,farm experiences near me,farm experiences near me,farm experiences near me,590,farm events near me:110,HIGH,100,0.4918,2025-august,720,2025-november,320,2.25,12,4,2,4,4,4,4,70,partner_led_test,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
183,Fitness and mind-body,Martial arts,fitness_class,martial arts classes near me,martial arts classes near me,martial arts classes near me,1900,martial arts near me:14800,LOW,28,1.0966,2025-september,2900,2025-december,1300,2.23,14,5,5,2,4,4,1,69,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
184,Fitness and mind-body,Barre classes,fitness_class,barre classes near me,barre classes near me,barre classes near me,1600,barre fitness near me:90,LOW,27,1.2808,2026-january,2400,2025-november,1000,2.40,14,5,5,2,4,4,1,69,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
185,Fitness and mind-body,Bootcamps,fitness_class,bootcamp near me,bootcamp near me,bootcamp near me,1600,fitness bootcamp near me:1600,LOW,30,1.2090,2025-august,1900,2025-december,1000,1.90,14,5,5,2,4,4,1,69,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
186,Fitness and mind-body,Kickboxing,fitness_class,kickboxing classes near me,kickboxing classes near me,kickboxing classes near me,1600,kickboxing near me:12100,LOW,28,1.2131,2025-august,1900,2025-december,1300,1.46,14,5,5,2,4,4,1,69,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
187,Fitness and mind-body,Calisthenics,fitness_class,calisthenics classes near me,calisthenics classes near me,calisthenics classes near me,1000,calisthenics near me:2900,MEDIUM,37,1.2470,2026-january,1300,2025-august,880,1.48,14,5,5,2,4,4,1,69,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
188,Nature and animals,Conservation volunteering,community_format,conservation volunteering near me,conservation volunteering near me,conservation volunteering near me,320,wildlife volunteering near me:390,LOW,14,5.9710,2025-october,390,2025-december,170,2.29,10,2,5,5,5,2,3,69,selective_or_watchlist,sponsor or venue-funded community layer rather than ticket-first,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
